"","cell.areas","num.cells","rss","r.squared","rmse","globalS","globalS.robust","iteration","shift"
"1",39164257.1726869,9,34100,0.969360802474683,69.7956200017492,0.571428571428571,0.571428571428571,2,1
"2",17406336.5211942,16,37521,0.950544140808844,50.0139980405486,0.6,0.6,3,1
"3",9791064.29317172,25,20620,0.941816603290701,30.6149102117371,0.772727272727273,0.75,4,1
"4",6266281.1476299,36,26082,0.89966304976928,28.1134067014945,0.818181818181818,0.793103448275862,5,1
"5",4351584.13029854,49,23572,0.878289531538996,22.6370223883066,0.782608695652174,0.761904761904762,6,1
"6",3197082.21817852,64,14455,0.873160362066639,16.5147161361194,0.867924528301887,0.851063829787234,7,1
"7",2447766.07329293,81,21819,0.753288337929386,17.912778875954,0.764705882352941,0.741935483870968,8,1
"8",1934037.3912438,100,16075,0.786033738283558,13.6718178985519,0.872093023255814,0.851351351351351,9,1
"9",1566570.28690748,121,14783,0.77896132389254,11.9224255405195,0.855769230769231,0.829545454545455,10,1
"10",1294686.18752684,144,17961,0.699417570230464,12.1835141288926,0.87603305785124,0.852941176470588,11,1
"11",1087896.03257464,169,13465,0.716227666792034,9.70365081610211,0.895104895104895,0.880952380952381,12,1
"12",926964.666809157,196,14969,0.658425417346896,9.5537631456878,0.878048780487805,0.858156028368794,13,1
"13",799270.554544631,225,12621,0.666221763636665,8.23740485284519,0.908602150537634,0.89375,14,1
"14",696253.460847767,256,12909,0.600222404059571,7.8403717113048,0.885714285714286,0.868852459016393,15,1
"15",611941.518323233,289,12297,0.604695914812874,7.14317130310902,0.925311203319502,0.91304347826087,16,1
"16",542065.84322058,324,12093,0.58637345842206,6.6924501409341,0.914814814814815,0.899563318777293,17,1
"17",483509.347810949,361,11355,0.563626272285176,6.15223536610881,0.923333333333333,0.911196911196911,18,1
"18",433952.988063013,400,11205,0.522086429131418,5.86269269569639,0.929447852760736,0.918727915194346,19,1
"19",391642.571726869,441,11105,0.490675346355048,5.55402756765054,0.927777777777778,0.91304347826087,20,1
"20",355231.357575391,484,9531,0.513222725667041,4.91836917381659,0.956852791878173,0.949101796407186,21,1
"21",323671.54688171,529,10319,0.475186637772013,4.8873892902115,0.953703703703704,0.944444444444444,22,1
"22",296138.050455099,576,10225,0.477137994469137,4.65436736766882,0.951271186440678,0.941025641025641,23,1
"23",271974.008143659,625,9419,0.453246805440369,4.29751410131257,0.962745098039216,0.955082742316785,24,1
"24",250651.245905196,676,9401,0.451073400120583,4.13433516695578,0.958181818181818,0.949450549450549,25,1
"25",231741.166702289,729,10449,0.365644001239597,4.21191615431762,0.952461799660441,0.942973523421589,26,1
"26",214893.043471533,784,9311,0.409241943311217,3.83224736594822,0.958990536277603,0.948514851485148,27,1
"27",199817.638636158,841,8841,0.413783466654679,3.62176899905179,0.965875370919881,0.957875457875458,28,1
"28",186274.707123362,900,8819,0.379726858080129,3.49737369267081,0.972260748959778,0.965753424657534,29,1
"29",174063.365211942,961,9147,0.354471970797849,3.44438865832124,0.96757457846952,0.960063897763578,30,1
"30",163014.598013265,1024,9099,0.325389105389977,3.32908783635519,0.969549330085262,0.961890243902439,31,1
"31",152985.379580808,1089,8353,0.359103477780631,3.08266834756342,0.969283276450512,0.961262553802009,32,1
"32",143854.020836316,1156,8743,0.334456880192689,3.07107464263337,0.971952535059331,0.96423658872077,33,1
"33",135516.460805145,1225,8533,0.308908284686512,2.94478317834772,0.973577235772358,0.966537966537967,34,1
"34",127883.288727141,1296,8735,0.29036416153947,2.88978553194698,0.978011472275335,0.971709717097171,35,1
"35",120877.336952737,1369,8707,0.272349615978461,2.81472147127802,0.976342129208371,0.969872537659328,36,1
"36",114431.722929691,1444,8397,0.260320358518562,2.7009989463951,0.980886185925282,0.975169300225734,37,1
"37",108488.247015753,1521,8379,0.266335651350113,2.62069318823956,0.980327868852459,0.97422126745435,38,1
"38",102996.074089906,1600,8057,0.280970689865633,2.50303082223234,0.979782270606532,0.973333333333333,39,1
"39",97910.6429317172,1681,7827,0.269053837349619,2.41953530342452,0.982049364248317,0.976190476190476,40,1
"40",93192.7594828956,1764,7891,0.252849699611735,2.36568254436415,0.987943262411348,0.984037558685446,41,1
"41",88807.8393938478,1849,8285,0.225048340521723,2.37161879227223,0.985064494229464,0.98,42,1
"42",84725.272412519,1936,7999,0.218757282618689,2.28277789514591,0.985667752442997,0.980802792321117,43,1
"43",80917.8867204275,2025,7832,0.229951504913313,2.20148464756522,0.987623762376238,0.983179142136249,44,1
"44",77361.4956497519,2116,8241,0.21742111214094,2.20628431763769,0.985233313644418,0.979724249797242,45,1
"45",74034.5126137748,2209,8103,0.202339569627589,2.14386168820975,0.987521270561543,0.982932505818464,46,1
"46",70917.6227662959,2304,8117,0.205520040421423,2.1049173038139,0.989082969432314,0.984939759036145,47,1
"47",67993.5020359148,2401,7781,0.212803036463838,2.01468267233673,0.987480438184664,0.982545454545454,48,1
"48",65246.5758811943,2500,7783,0.191726685261969,1.97367560541123,0.988988988988989,0.984626135569532,49,1
"49",62662.811476299,2601,7995,0.174631987240806,1.96956463760843,0.987384764677341,0.982312925170068,50,1
