"","cell.areas","num.cells","rss","r.squared","rmse","globalS","globalS.robust","iteration","shift"
"1",42309953.6662577,9,57086,0.980443855361061,84.4733685844243,0.75,0.714285714285714,2,1
"2",18804423.8516701,16,180466,0.991031639649277,117.821899492412,0.769230769230769,0.769230769230769,3,1
"3",10577488.4165644,25,104278,0.987372667243394,70.4671487121414,0.80952380952381,0.777777777777778,4,1
"4",6769592.58660123,36,89564,0.987081286804535,52.9043949025031,0.875,0.84,5,1
"5",4701105.96291752,49,95554,0.983152499631304,48.276136608615,0.878048780487805,0.857142857142857,6,1
"6",3453873.76867409,64,65696,0.978250058588104,36.6160442139447,0.816326530612245,0.790697674418605,7,1
"7",2644372.1041411,81,58726,0.967490617757972,30.2918099492255,0.90625,0.890909090909091,8,1
"8",2089380.42796334,100,49660,0.973066896061144,25.2322544903674,0.935897435897436,0.928571428571429,9,1
"9",1692398.14665031,121,43928,0.963019237370141,21.1717948686261,0.948979591836735,0.941176470588235,10,1
"10",1398676.15425645,144,46300,0.953659728806543,20.3320647535575,0.928571428571429,0.916666666666667,11,1
"11",1175276.49072938,169,35322,0.955222132393562,16.3582061697152,0.916666666666667,0.903508771929825,12,1
"12",1001419.02168657,196,35400,0.964100139938916,15.3113384814233,0.940397350993378,0.930232558139535,13,1
"13",863468.442168524,225,29262,0.962676694999838,12.931025812805,0.96,0.951048951048951,14,1
"14",752176.954066803,256,30896,0.935642835502628,12.460187856009,0.969849246231156,0.961783439490446,15,1
"15",661093.026035276,289,25380,0.940790088074134,10.6444150345884,0.955357142857143,0.943181818181818,16,1
"16",585604.895034708,324,23830,0.93921049494445,9.62931645593602,0.949416342412451,0.935960591133005,17,1
"17",522345.106990835,361,21822,0.942691387776619,8.90801477730741,0.963636363636364,0.95260663507109,18,1
"18",468808.350872661,400,21664,0.932663877710437,8.40040327867059,0.960912052117264,0.949152542372881,19,1
"19",423099.536662577,441,20676,0.92171653494282,7.84447029988095,0.961309523809524,0.946938775510204,20,1
"20",383763.752074899,484,20846,0.929256802799793,7.46578649001152,0.957219251336898,0.940740740740741,21,1
"21",349669.038564113,529,19688,0.923917720388241,6.99822294429875,0.977611940298508,0.96875,22,1
"22",319924.035283612,576,18544,0.919516522745307,6.59003576838331,0.964871194379391,0.951456310679612,23,1
"23",293819.122682345,625,15448,0.921650498762318,5.68489152330976,0.981171548117155,0.972972972972973,24,1
"24",270783.703464049,676,15714,0.90552963298066,5.50249549271954,0.976878612716763,0.966101694915254,25,1
"25",250354.755421643,729,18104,0.891152159471231,5.7794648560347,0.972324723247233,0.958677685950413,26,1
"26",232153.380884816,784,14602,0.902801958977043,4.97907335526198,0.977928692699491,0.966494845360825,27,1
"27",215867.110542131,841,14272,0.908354814019712,4.73711426633631,0.974842767295597,0.961352657004831,28,1
"28",201236.402693259,900,14912,0.894441475650432,4.70019700138748,0.976296296296296,0.963302752293578,29,1
"29",188044.238516701,961,14528,0.893130690926132,4.47029012595143,0.977991746905089,0.964679911699779,30,1
"30",176108.02774717,1024,15942,0.876512857730591,4.56201824238617,0.981723237597911,0.96976241900648,31,1
"31",165273.256508819,1089,14160,0.871138514875718,4.19144822387197,0.97394540942928,0.957230142566191,32,1
"32",155408.46158405,1156,13286,0.89217714460629,3.91912459259135,0.98150289017341,0.968992248062015,33,1
"33",146401.223758677,1225,14366,0.872819104831779,3.97108097165303,0.982436882546652,0.969981238273921,34,1
"34",138154.950746964,1296,12142,0.886388988299628,3.55084709007769,0.987538940809969,0.978494623655914,35,1
"35",130586.276747709,1369,13352,0.857140205008274,3.59519955298037,0.98838334946757,0.979202772963605,36,1
"36",123622.947162185,1444,13488,0.847166791988102,3.55043764578897,0.98411214953271,0.970639032815199,37,1
"37",117202.087718165,1521,13548,0.838167303929981,3.43382042561994,0.988685813751088,0.978583196046129,38,1
"38",111268.780187397,1600,12762,0.858811503759979,3.27343324955538,0.98656591099916,0.974882260596546,39,1
"39",105774.884165644,1681,12010,0.843871490469948,3.11089686278643,0.988718775181305,0.979166666666667,40,1
"40",100678.05750448,1764,10950,0.861495139267705,2.90002383591031,0.990783410138249,0.982326951399116,41,1
"41",95940.9380187249,1849,13846,0.822660512914945,3.16984155766904,0.991291727140784,0.982633863965268,42,1
"42",91530.4568226234,1936,12474,0.830683028821718,2.94936345164079,0.99023709902371,0.97997138769671,43,1
"43",87417.2596410282,2025,12614,0.814895937844492,2.89410262659779,0.99136786188579,0.982068965517241,44,1
"44",83575.2171185337,2116,11548,0.825657174179891,2.71641560480335,0.991693290734824,0.982573726541555,45,1
"45",79981.0088209029,2209,11832,0.813325027394437,2.69340771620075,0.988963825873697,0.976653696498054,46,1
"46",76613.7685219695,2304,10924,0.810582287895321,2.52898883811802,0.989461358313817,0.976893453145058,47,1
"47",73454.7806705862,2401,11734,0.806793611039872,2.57767222722077,0.993204983012458,0.985,48,1
"48",70487.2197688591,2500,11092,0.819698298276696,2.44267245775595,0.99354491662184,0.985611510791367,49,1
"49",67695.9258660123,2601,10956,0.792992405050805,2.38877583711825,0.9921875,0.982248520710059,50,1
